subject	relation	object
ChaMARCM-F000138_seg002		lobula columnar neuron LC9
ChaMARCM-F000862_seg001		lobula columnar neuron LC11
ChaMARCM-F000683_seg003		lobula columnar neuron LC11
GadMARCM-F000206_seg002		lobula columnar neuron LC11
ChaMARCM-F000094_seg001		lobula columnar neuron LC12
DvGlutMARCM-F367_seg1		lobula columnar neuron LC12
DvGlutMARCM-F1268_seg1		lobula columnar neuron LC12
ChaMARCM-F001467_seg003		lobula columnar neuron LC15
ChaMARCM-F001472_seg001		lobula columnar neuron LC15
ChaMARCM-F001346_seg001		lobula columnar neuron LC16
FruMARCM-F000706_seg002		lobula columnar neuron LC16
DvGlutMARCM-F003840_seg001		lobula columnar neuron LC16
ChaMARCM-F000111_seg001		lobula columnar neuron LC17
ChaMARCM-F000008_seg001		lobula columnar neuron LC17
GadMARCM-F000266_seg001		lobula columnar neuron LC17
5HT1bMARCM-F000026_seg001		lobula columnar neuron LC18
ChaMARCM-F001394_seg001		lobula columnar neuron LC18
FruMARCM-F000817_seg001		lobula columnar neuron LC18
GadMARCM-F000203_seg001		lobula columnar neuron LC18
DvGlutMARCM-F004346_seg002		lobula columnar neuron LC20
DvGlutMARCM-F002796_seg001		lobula columnar neuron LC20
GadMARCM-F000380_seg001		lobula columnar neuron LC20
GadMARCM-F000492_seg002		lobula columnar neuron LC21
ChaMARCM-F000763_seg001		lobula columnar neuron LC21
GadMARCM-F000268_seg001		lobula columnar neuron LC22
ChaMARCM-F000888_seg001		lobula columnar neuron LC22
DvGlutMARCM-F003578_seg004		lobula columnar neuron LC22
GadMARCM-F000215_seg001		lobula complex columnar neuron LPLC4
ChaMARCM-F001328_seg001		lobula complex columnar neuron LPLC4
ChaMARCM-F000164_seg003		lobula complex columnar neuron LPLC4
ChaMARCM-F001270_seg002		lobula columnar neuron LC24
ChaMARCM-F000444_seg001		lobula columnar neuron LC24
ChaMARCM-F000509_seg001		lobula columnar neuron LC24
ChaMARCM-F001095_seg001		lobula complex columnar neuron LPLC1
ChaMARCM-F000133_seg002		lobula complex columnar neuron LPLC1
ChaMARCM-F001348_seg002		lobula complex columnar neuron LPLC2
ChaMARCM-F000310_seg001		lobula complex columnar neuron LPLC2
ChaMARCM-F000374_seg002		lobula complex columnar neuron LPLC3
ChaMARCM-F000011_seg001		lobula complex columnar neuron LPLC3
GadMARCM-F000378_seg001		lobula complex columnar neuron LPLC3
FruMARCM-F000396_seg001		lobula complex columnar neuron LPLC3
DvGlutMARCM-F003494_seg001		lobula plate columnar neuron LPC1
ChaMARCM-F001263_seg001		lobula plate columnar neuron LPC1
FruMARCM-F001811_seg001		lobula plate columnar neuron LPC1
GadMARCM-F000224_seg001		medulla columnar neuron MC61
ChaMARCM-F001145_seg001		medulla columnar neuron MC61
ChaMARCM-F000164_seg001		medulla columnar neuron MC61
ChaMARCM-F000520_seg001		medulla columnar neuron MC63
THMARCM-683F_seg1		lamina tangential neuron
TPHMARCM-031F_seg1		lamina tangential neuron
THMARCM-038F_seg1		lamina tangential neuron
ChaMARCM-F001550_seg001		lamina tangential neuron
